user_id,age,gender,country,occupation,education_level,primary_platform,account_type,is_verified,follower_count,following_count,join_date,profile_completeness_pct
USR00001,51,Non-binary,Canada,Professional,PhD,LinkedIn,Business,True,25542.487755185368,185.30546589171897,2022-03-04,69.0
USR00002,64,Male,India,Professional,Some College,Snapchat,Creator,False,137.26123188552148,198.6008658113405,2016-04-01,100.0
USR00003,41,Female,Mexico,Student,Diploma,TikTok,Business,False,-1.0,892.6852561849587,2015-04-13,82.0
USR00004,27,Male,India,Professional,Master,Instagram,Personal,False,2094.390061385599,1264.945313911994,2018-01-31,90.0
USR00005,55,Female,Canada,Homemaker,Some College,Snapchat,Creator,False,746.5004103678181,864.9922003230696,2017-09-30,51.0
USR00006,20,Non-binary,Mexico,Freelancer,PhD,Pinterest,Personal,True,147.58249951544778,888.0856053428876,2017-07-03,67.0
USR00007,33,Male,Mexico,Professional,Bachelor,LinkedIn,Personal,False,7227.541175851818,280.02390809971814,2016-07-25,90.0
USR00008,51,Male,India,Retired,High School,Pinterest,Creator,False,1817.8349703209635,209.97363705242446,2016-02-24,76.0
USR00009,31,Male,Mexico,Homemaker,PhD,TikTok,Business,False,163.96531812457866,482.17040927371187,2022-08-03,56.0
USR00010,35,Male,France,Student,High School,TikTok,Personal,False,2117.522270523538,365.6111801073991,2021-02-11,47.0
USR00011,23,Female,Australia,Professional,Diploma,LinkedIn,Personal,True,14077.725916836074,121.39483428945168,2015-12-23,49.0
USR00012,23,Female,France,Retired,Some College,Pinterest,Personal,False,1038.4932046597435,388.11439506147684,2021-08-15,71.0
USR00013,36,Male,Japan,Business Owner,Master,LinkedIn,Business,False,1092.9994618261894,923.3059054338182,2019-09-25,70.0
USR00014,48,Male,France,Business Owner,Master,YouTube,Personal,False,11521.931055699748,252.53240450670987,2015-05-11,87.0
USR00015,52,Male,USA,Unemployed,PhD,Pinterest,Personal,False,255.80719786008606,2709.9961529319794,2015-05-03,69.0
USR00016,36,Female,Mexico,Homemaker,Some College,Facebook,Personal,False,14637.295896489682,89.82113370303341,2016-01-19,59.0
USR00017,15,Male,Canada,Unemployed,Some College,YouTube,Personal,False,4719.0680193349535,150.05710592316083,2017-06-14,41.0
USR00018,34,Female,USA,Unemployed,High School,LinkedIn,Creator,False,274.1489451221546,202.88859697202096,2017-08-10,91.0
USR00019,14,Female,USA,Unemployed,Diploma,Snapchat,Brand,False,402.46031681486795,1082.4566151030456,2020-08-31,91.0
USR00020,36,Female,Australia,Professional,Diploma,Pinterest,Personal,False,499.0871598199705,520.5352322947325,2021-10-01,99.0
USR00021,56,Male,Japan,Homemaker,Some College,Twitter/X,Personal,False,70.08113757521012,139.3146233652388,2015-04-19,44.0
